ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010123045;"Tablette : lettre du roi hittite au roi d'Ugarit";;"-1250 / -1220  (Bronze récent II)";"AO 21091; RS 20.252 A'; RS [Varia 21]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010144666;"Tablette : inventaire du tribut du roi d'Ugarit au roi hittite";;"-1400 / -1200  (Bronze récent II)";"AO 19956; RS 11732; RS 11.732 [B]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra palais royal";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010145732;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 21087; RS [Varia 16]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139701;figurine;;"-1550 / -1150  (Bronze récent)";"AO 14842";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139700;figurine;;;"AO 14841";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010143295;mortier;;;"AO 18514; RS 7.178";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010144030;"figurine ; élément";;"-1400 / -1200  (Bronze récent II)";"AO 19256";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139697;figurine;;;"AO 14838; RS 3.32";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010142122;figurine;;;"AO 17369";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010142172;"figurine ; plaquette";;;"AO 17424; RS 6.413";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010143312;vase;;"-1400 / -1200  (Bronze récent II)";"AO 18535";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010143887;vase;;"-1400 / -1200  (Bronze récent II)";"AO 19126; RS 8.278";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010125897;"Figurine féminine";;"-1550 / -1150  (Bronze récent)";"AO 18524; RS 7.117";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010150251;"applique murale";;"-260 / -240  (IIIe s. av. J.-C.)";"AO 25553; RS 10.152; CIS 1596";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010144020;"vase miniature ; objet votif";;"-1400 / -1200  (Bronze récent II)";"AO 19246";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139766;stèle;;"-1300 / -1200  (Bronze récent II)";"AO 14919; RS 3.487";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139795;vase;;;"AO 14951";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit ; Ras Shamra = Ugarit";"non exposé";
cl010120074;"Perle : déesse";;"-1400 / -1200  (Bronze récent II)";"AO 14725; RS 3.114";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010137827;figurine;;;"AO 13128";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010141996;statuaire;;;"AO 17227; RS 5.145";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010142159;plaquette;;;"AO 17409";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010145099;stèle;;"-1400 / -1200  (Bronze récent II)";"AO 20382; RS 9.226";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Ouest";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010137513;figurine;;"-1300 / -1200  (2e moitié IIe mill av. J.-C.)";"AO 13129";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010137874;figurine;;;"AO 13152";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139565;"Perle : dieu guerrier";;"-1200 / -1150  (Bronze récent III)";"AO 14726; RS 3.113";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139696;figurine;;;"AO 14837; RS 3.188";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe VI";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010119655;poids;;"-1400 / -1200  (Bronze récent II)";"AO 11419";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010119669;poids;;"-1400 / -1200  (Bronze récent II)";"AO 17418; RS 6.020";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119719;poids;;"-1400 / -1200  (Bronze récent II)";"AO 30469";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010120096;perle;;"-1200 / -1150  (Bronze récent III)";"AO 17412 A; RS 6.150";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010120101;vase;;"-1200 / -1150  (Bronze récent III)";"AO 19127; RS 8522";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010135924;"sceau cylindre";;"-2100 / -1550  (Bronze moyen)";"AO 11230";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010135926;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 11232";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136148;"cachet ; estampille";;"-6900 / -5300  (Néolithique)";"AO 11423";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010136315;collier;;"-1550 / -1150  (Bronze récent [?])";"AO 11600; RS 1929";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136409;"pointe ; pointe de flèche ; pointe de flèche";;;"AO 11687; RS 9.158";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136429;épingle;;"-3300 / -1150  (Bronze)";"AO 11703";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136457;"anse de vase ; figurine";;"-3300 / -1150  (Bronze)";"AO 11730";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010137808;spatule;;;"AO 13110";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137866;vase;;;"AO 13145";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139576;aiguille;;"-3300 / -1150  (Bronze)";"AO 14737";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139577;"aiguille ; épingle ; fil";;"-2100 / -1550  (Bronze moyen)";"AO 14738; RS 4.12";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010139590;faucille;;;"AO 14751";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010139602;hache;;;"AO 14763";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139635;vase;;;"AO 14863";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139638;vase;;;"AO 14866";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139642;vase;;;"AO 14870";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139646;vase;;;"AO 14874; RS 3.159";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139649;vase;;;"AO 14877";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139650;vase;;;"AO 14878";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139653;vase;;;"AO 14880";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139654;vase;;;"AO 14881";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139668;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 14807; RS 3.326";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139669;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 14808";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139686;cachet;;"-3300 / -2100  (Bronze ancien)";"AO 14825";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139687;moule;;;"AO 14826";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010139690;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 14830; RS 492";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139692;hache;;;"AO 14832; RS 3.140";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139694;moule;;;"AO 14835; RS 3.365";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139718;lampe;;;"AO 14859; RS 3.409";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139753;vase;;;"AO 14905";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139756;vase;;;"AO 14908";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139757;vase;;;"AO 14909";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139763;vase;;;"AO 14914";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139786;louche;;;"AO 14942";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140495;hache;;"-2100 / -1550  (Bronze moyen)";"AO 15717; RS 4.403";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010141960;tablette;;"-1595 / -1155  (Kassite = Médio-babylonien)";"AO 17194; RS 2.[017]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141968;tablette;;"-1595 / -1155  (Kassite = Médio-babylonien)";"AO 17200; RS 3.339";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141981;hache;;"-3300 / -1150  (Bronze)";"AO 17211";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141988;poignard;;"-3300 / -1150  (Bronze)";"AO 17218; RS 5.018";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142014;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17246";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142015;fusaïole;;;"AO 17247";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142021;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17254";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142026;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17259; RS 5.133";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142098;vase;;"-539 / -330  (Fer IV)";"AO 17345; RS 6.239";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010142103;"instrument et objet divers";;;"AO 17350";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142113;vase;;"-539 / -330  (Fer IV)";"AO 17360; RS 6.132";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010142128;ciseau;;;"AO 17376; RS 6.024";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142130;"pointe de lance";;;"AO 17378";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142136;pendentif;;;"AO 17384";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010142140;"aiguille ; épingle ; fil";;"-2100 / -1550  (Bronze moyen)";"AO 17388; RS 6.169";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010142153;vase;;"-600 / -300  (VIe s. av. J.-C.; IVe s. av. J.-C.)";"AO 17403; RS 6.151";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010142155;ciseau;;;"AO 17405; RS 6.309";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142163;"lame ; lame de poignard";;;"AO 17413; RS 6241";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142164;cachet;;"-1550 / -1150  (Bronze récent)";"AO 17414; RS 6025";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142165;vase;;"-1550 / -1100  (Mycénien)";"AO 17415; RS 6.415";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142169;cachet;;;"AO 17421; RS 6155";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142176;vase;;;"AO 17428; RS 6.178";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142177;vase;;;"AO 17429; RS 6.054";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142187;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17438";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010142194;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17445";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142198;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17449; RS 6159";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142203;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17454";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142209;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17460";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142210;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17461; RS 6.230";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142216;"sceau cylindre";;"-1400 / -1200  (Bronze récent II)";"AO 17467; RS 6.223";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142218;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17469";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142227;cachet;;"-1400 / -1200  (Bronze récent II)";"AO 17478; RS 6.072";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142230;"vase ; trésor de fondeur";;;"AO 17481; RS 6.193";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010143107;"bague ; bague cachet";;;"AO 18579; RS 7.015";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143294;"boîte à fard";;"-1550 / -1150  (Bronze récent)";"AO 18513 A-B; RS 1935";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143305;hache;;"-2100 / -1550  (Bronze moyen)";"AO 18528";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010143316;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18540";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143317;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18541";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143319;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18543; RS 7.196";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143324;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18548; RS 7.190";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143335;cachet;;"-1400 / -1200  (Bronze récent II)";"AO 18558; RS 7.085";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010143340;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18563; RS 7.157";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143342;spatule;;"-1550 / -1150  (Bronze récent)";"AO 18565";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010143349;vase;;;"AO 18639; AO 18571; RS 7.171";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143350;vase;;;"AO 18572";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143351;"vase ; figurine";;"-1550 / -1100  (Mycénien)";"AO 18573";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010143352;vase;;"-1550 / -1100  (Mycénien)";"AO 18574";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010143354;cachet;;"-1400 / -1200  (Bronze récent II)";"AO 18576; RS 7.088";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143355;bague;;;"AO 18577; RS 7.023";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143357;cachet;;"-1550 / -1150  (Bronze récent)";"AO 18581; RS 7.026";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143358;bague;;;"AO 18582; RS 7.138";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143359;cachet;;"-1550 / -1150  (Bronze récent)";"AO 18583; RS 7.135";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143364;cachet;;"-1550 / -1150  (Bronze récent)";"AO 18587 BIS; RS 7.121";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143421;élément;;;"AO 18637; RS 7.069";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143566;vase;;;"AO 18832; RS 7.548";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143567;vase;;;"AO 18833";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143863;"outil ; ustensile domestique";;;"AO 19097";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143867;pinces;;"-3300 / -1150  (Bronze)";"AO 19100; RS 8.352";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143897;perle;;;"AO 19137; RS 8391";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143905;"scarabée ; cachet";;"-1400 / -1300  (Bronze récent II)";"AO 19144; RS 8.015";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143914;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19152; RS 8152";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143916;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19154; RS 8319";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143917;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19155; RS 8355";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143919;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 19157; RS 8034";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143924;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19162; RS 8325";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143929;vase;;;"AO 19240; RS 9378";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143932;vase;;"-1550 / -1150  (Bronze récent)";"AO 19243; RS 9395";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010143934;vase;;;"AO 19245";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143938;vase;;;"AO 19373; RS 9.639";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143939;vase;;;"AO 19374; RS 9648";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143955;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19168; RS 8324";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143956;cachet;;"-3300 / -2100  (Bronze ancien)";"AO 19169; RS 8234 bis";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143960;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19173; RS 8032";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
