ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010153833;"outil ; ustensile domestique";;"-3300 / -1150  (Bronze)";"AO 29438; RS 240";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153841;bracelet;;;"AO 29445";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153915;épingle;;;"AO 29523";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153921;tige;;"-3300 / -1150  (Bronze)";"AO 29529";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010154078;brûle-parfum;;;"AO 29707; RS 11.119";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010154841;perle;;"-1200 / -1150  (Bronze récent III)";"AO 30799";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010154844;"perle ; collier";;"-1550 / -1150  (Bronze récent)";"AO 30801";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010154860;vase;;"-1400 / -1230  (Chypriote récent II)";"AO 30816";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010155211;figurine;;"-600 / -300  (VIe s. av. J.-C.; IVe s. av. J.-C.)";"AO 31137; RS 6208";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010155886;hache;;"-3300 / -1150  (Bronze)";"AO 31762; RS 7.078";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010155888;hache;;"-3300 / -1150  (Bronze)";"AO 31764";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010156380;lampe;;"-1550 / -1150  (Bronze récent)";"AO 32193";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156381;vase;;;"AO 32194";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156383;vase;;;"AO 32196; RS 8.509";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156384;vase;;;"AO 32197; RS 7.140";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156397;vase;;;"AO 32208; RS 7.305";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156403;vase;;;"AO 32213; RS 7.259";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156405;vase;;;"AO 32215";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156409;vase;;;"AO 32219";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156412;vase;;;"AO 32221";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156431;vase;;;"AO 32239; RS 8.132";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010195153;"boucle d'oreille";;;"RS 10.014";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010196877;perle;;;"AO 17417 B; RS 6319 B";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010200792;"plateau de balance";;"-3300 / -1150  (Bronze)";"AO 19213 B; RS 8529";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010201017;"plateau de balance";;"-3300 / -1150  (Bronze)";"AO 19091 A; RS 8.045";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010208287;vase;;"-1550 / -1150  (Bronze récent)";"RS 11.378";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010211159;vase;;;"RS 61 3707";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010242022;moulage;;;"AOmg 226; RS 7.116";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010242023;moulage;;;"AOmg 227";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
