isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_06157	KTU 1.121, KTU2 1.121, KTU3 1.121, CTU 1.121, CAT 1.121	Ritual		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06158	KTU 1.122, KTU2 1.122, KTU3 1.122, CTU 1.122, CAT 1.122	Ritual		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05481	KTU 1.123; KTU2 1.123; CTU 1.123; CAT 1.123; RS 24.271; DO 6608	List of divine names	Prayer, liturgy?, scribal exercise	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01279	KTU 1.124; CAT 1.124; KTU2 1.124; CTU 1.124; RS 24.272	Protocol for Necromancy	Myth as paradigm for healing ritual?	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06159	KTU 1.125, KTU2 1.125, KTU3 1.125, CTU 1.125, CAT 1.125	List (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05482	KTU 1.126; KTU2 1.126; CTU 1.126; CAT 1.126; RS 24.276; DO 6612	Fragmentary list of sacrifices Ritual, list (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05483	KTU 1.127; KTU2 1.127; CTU 1.127; CAT 1.127; RS 24.277; DO 6613	A Lung Model	Omen (lung)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06160	KTU 1.128, KTU2 1.128, KTU3 1.128, CTU 1.128, CAT 1.128	Incantation		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06161	KTU 1.129, KTU2 1.129, KTU3 1.129, CTU 1.129, CAT 1.129	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01253	KTU 1.13; CTA 13; CAT 1.13; KTU2 1.13; CTU 1.13; RS 1.006	Incantation against Infertility	Description of destructiveness of Anat, she gives birth without having conceived	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_05484	KTU 1.130; KTU2 1.130; CTU 1.130; CAT 1.130; RS 24.284; DO 6617	A list of sacrifices	List (sacrifices); scribal exercise?	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06162	KTU 1.131, KTU2 1.131, KTU3 1.131, CTU 1.131, CAT 1.131	Incantation		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05485	KTU 1.132; KTU2 1.132; CTU 1.132; CAT 1.132; RS 24.291; DO 6622	Offerings to Hurrian gods	List (sacrifices)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01280	KTU 1.133; CAT 1.133; KTU2 1.133; CTU 1.133; RS 24.293	Myth concerning Mot	Scribal exercise resembling part of KTU 1.5 I	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06163	KTU 1.134, KTU2 1.134, KTU3 1.134, CTU 1.134, CAT 1.134	List (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06164	KTU 1.135, KTU2 1.135, KTU3 1.135, CTU 1.135, CAT 1.135	List (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06165	KTU 1.136, KTU2 1.136, KTU3 1.136, CTU 1.136, CAT 1.136	Ritual?, list (sacrifices)?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06166	KTU 1.137, KTU2 1.137, KTU3 1.137, CTU 1.137, CAT 1.137	Ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06167	KTU 1.138, KTU2 1.138, KTU3 1.138, CTU 1.138, CAT 1.138	List (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
