isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_06300	KTU 4.139, KTU2 4.139, KTU3 4.139, CTU 4.139, CAT 4.139	Record (obv.: quantities produced[?] by royal farm or town; rev.: quantities of silver)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06301	KTU 4.140, KTU2 4.140, KTU3 4.140, CTU 4.140, CAT 4.140	List (PNs?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06302	KTU 4.141, KTU2 4.141, KTU3 4.141, CTU 4.141, CAT 4.141	Obv.: list (royal personnel assigned to an individual); rev.: record (workers and other royal servicemen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06303	KTU 4.142, KTU2 4.142, KTU3 4.142, CTU 4.142, CAT 4.142	Record (cattle and prices)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06304	KTU 4.143, KTU2 4.143, KTU3 4.143, CTU 4.143, CAT 4.143	Record (olives)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06305	KTU 4.144, KTU2 4.144, KTU3 4.144, CTU 4.144, CAT 4.144	Record (royal servicemen assigned to an individual)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06306	KTU 4.145, KTU2 4.145, KTU3 4.145, CTU 4.145, CAT 4.145	Record (chariots and accessories)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06307	KTU 4.146, KTU2 4.146, KTU3 4.146, CTU 4.146, CAT 4.146	Record (garments, with prices)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06308	KTU 4.147, KTU2 4.147, KTU3 4.147, CTU 4.147, CAT 4.147	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06309	KTU 4.148, KTU2 4.148, KTU3 4.148, CTU 4.148, CAT 4.148	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06310	KTU 4.149, KTU2 4.149, KTU3 4.149, CTU 4.149, CAT 4.149	Record (wine)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01483	KTU 4.15; KTU2 4.15; CTU 4.15; CAT 4.15; RS 1.014; AO 12.002; CTA 31	list of names	list of names	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_06311	KTU 4.150, KTU2 4.150, KTU3 4.150, CTU 4.150, CAT 4.150	Record (trade)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06312	KTU 4.151, KTU2 4.151, KTU3 4.151, CTU 4.151, CAT 4.151	Obv. Col. I: list (persons); col. II: record (royal servicemen grouped by trade or profession); rev.: content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06313	KTU 4.152, KTU2 4.152, KTU3 4.152, CTU 4.152, CAT 4.152	Record (garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06314	KTU 4.153, KTU2 4.153, KTU3 4.153, CTU 4.153, CAT 4.153	List (persons and their family or status)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06315	KTU 4.154, KTU2 4.154, KTU3 4.154, CTU 4.154, CAT 4.154	Record (workers assigned to individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06316	KTU 4.155, KTU2 4.155, KTU3 4.155, CTU 4.155, CAT 4.155	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06317	KTU 4.156, KTU2 4.156, KTU3 4.156, CTU 4.156, CAT 4.156	Record (garments, with prices)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06318	KTU 4.157, KTU2 4.157, KTU3 4.157, CTU 4.157, CAT 4.157	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06319	KTU 4.158, KTU2 4.158, KTU3 4.158, CTU 4.158, CAT 4.158	Record (miscellaneous items)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06320	KTU 4.159, KTU2 4.159, KTU3 4.159, CTU 4.159, CAT 4.159	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01484	KTU 4.16; KTU2 4.16; CTU 4.16; CAT 4.16; RS 1.015; A 2712; CTA 107; M 3333; AO 12.017	list of names	list of names	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_06321	KTU 4.160, KTU2 4.160, KTU3 4.160, CTU 4.160, CAT 4.160	Record (delivery of wine, sheep, and other unknown items)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06322	KTU 4.161, KTU2 4.161, KTU3 4.161, CTU 4.161, CAT 4.161	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06323	KTU 4.162, KTU2 4.162, KTU3 4.162, CTU 4.162, CAT 4.162	Record (royal servicemen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06324	KTU 4.163, KTU2 4.163, KTU3 4.163, CTU 4.163, CAT 4.163	Record (royal servicemen on duty)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06325	KTU 4.164, KTU2 4.164, KTU3 4.164, CTU 4.164, CAT 4.164	Record (produce of olive groves)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06326	KTU 4.165, KTU2 4.165, KTU3 4.165, CTU 4.165, CAT 4.165	Obv.: list (persons with numbers); rev.: quantities (garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06327	KTU 4.166, KTU2 4.166, KTU3 4.166, CTU 4.166, CAT 4.166	Record (customs clearance)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06328	KTU 4.167, KTU2 4.167, KTU3 4.167, CTU 4.167, CAT 4.167	Record (chariots and accessories)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06329	KTU 4.168, KTU2 4.168, KTU3 4.168, CTU 4.168, CAT 4.168	Record (garments and textiles for gods)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06330	KTU 4.169, KTU2 4.169, KTU3 4.169, CTU 4.169, CAT 4.169	Record (weapons)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01485	KTU 4.17; KTU2 4.17; CTU 4.17; CAT 4.17; RS 1.024B; RS 1.024A; AO 12.035B; AO 12.035A; CTA 200; CTA 199	fragmentary list	fragmentary list	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_06331	KTU 4.170, KTU2 4.170, KTU3 4.170, CTU 4.170, CAT 4.170	List (PNs with unknown quantities)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06332	KTU 4.171, KTU2 4.171, KTU3 4.171, CTU 4.171, CAT 4.171	Record (oil)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06333	KTU 4.172, KTU2 4.172, KTU3 4.172, CTU 4.172, CAT 4.172	Record (purchase of customs licence by individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06334	KTU 4.173, KTU2 4.173, KTU3 4.173, CTU 4.173, CAT 4.173	Record (royal servicemen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06335	KTU 4.174, KTU2 4.174, KTU3 4.174, CTU 4.174, CAT 4.174	Record (royal servicemen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06336	KTU 4.175, KTU2 4.175, KTU3 4.175, CTU 4.175, CAT 4.175	Record (quantities of barley[?] for individuals/workers)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06337	KTU 4.176, KTU2 4.176, KTU3 4.176, CTU 4.176, CAT 4.176	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06338	KTU 4.177, KTU2 4.177, KTU3 4.177, CTU 4.177, CAT 4.177	Record (transfer of land holdings?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06339	KTU 4.178, KTU2 4.178, KTU3 4.178, CTU 4.178, CAT 4.178	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06340	KTU 4.179, KTU2 4.179, KTU3 4.179, CTU 4.179, CAT 4.179	Record (royal servicemen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06257	KTU 4.18, CTA 151, KTU2 4.18, KTU3 4.18, CTU 4.18, CAT 4.18	Record		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_06341	KTU 4.180, KTU2 4.180, KTU3 4.180, CTU 4.180, CAT 4.180	List (obv.: persons without weapons; rev.: persons owning/driving chariots)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06342	KTU 4.181, KTU2 4.181, KTU3 4.181, CTU 4.181, CAT 4.181	Record (quantities of copper)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06343	KTU 4.182, KTU2 4.182, KTU3 4.182, CTU 4.182, CAT 4.182	Record (garments, textiles, dyes for statues of gods)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06344	KTU 4.183, KTU2 4.183, KTU3 4.183, CTU 4.183, CAT 4.183	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06345	KTU 4.184, KTU2 4.184, KTU3 4.184, CTU 4.184, CAT 4.184	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06346	KTU 4.185, KTU2 4.185, KTU3 4.185, CTU 4.185, CAT 4.185	Record (garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06347	KTU 4.186, KTU2 4.186, KTU3 4.186, CTU 4.186, CAT 4.186	List (persons owning/driving wagons)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06348	KTU 4.187, KTU2 4.187, KTU3 4.187, CTU 4.187, CAT 4.187	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06349	KTU 4.188, KTU2 4.188, KTU3 4.188, CTU 4.188, CAT 4.188	Record (textiles and garments for individuals and professions)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06350	KTU 4.189, KTU2 4.189, KTU3 4.189, CTU 4.189, CAT 4.189	Religious?		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06351	KTU 4.190, KTU2 4.190, KTU3 4.190, CTU 4.190, CAT 4.190	Record (textiles/garments for individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06352	KTU 4.192, KTU2 4.192, KTU3 4.192, CTU 4.192, CAT 4.192	Record (delivery of garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06353	KTU 4.193, KTU2 4.193, KTU3 4.193, CTU 4.193, CAT 4.193	Record (delivery of garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06354	KTU 4.194, KTU2 4.194, KTU3 4.194, CTU 4.194, CAT 4.194	List (persons with apprentices)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06355	KTU 4.195, KTU2 4.195, KTU3 4.195, CTU 4.195, CAT 4.195	Record (wooden furniture: doors, windows, biers)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06356	KTU 4.196, KTU2 4.196, KTU3 4.196, CTU 4.196, CAT 4.196	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06357	KTU 4.197, KTU2 4.197, KTU3 4.197, CTU 4.197, CAT 4.197	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06358	KTU 4.199, KTU2 4.199, KTU3 4.199, CTU 4.199, CAT 4.199	Record of trade?		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06258	KTU 4.20, CTA 150, KTU2 4.20, KTU3 4.20, CTU 4.20, CAT 4.20	Record		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_06359	KTU 4.200, KTU2 4.200, KTU3 4.200, CTU 4.200, CAT 4.200	List (persons grouped by place of residence)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06360	KTU 4.201, KTU2 4.201, KTU3 4.201, CTU 4.201, CAT 4.201	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06361	KTU 4.202, KTU2 4.202, KTU3 4.202, CTU 4.202, CAT 4.202	Record (quantities of silver)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06362	KTU 4.203, KTU2 4.203, KTU3 4.203, CTU 4.203, CAT 4.203	Record (misc. items: metals, garments textiles, and provisions)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06363	KTU 4.204, KTU2 4.204, KTU3 4.204, CTU 4.204, CAT 4.204	List (persons owning/receiving weapons)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06364	KTU 4.205, KTU2 4.205, KTU3 4.205, CTU 4.205, CAT 4.205	Record (mostly garments)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06365	KTU 4.206, KTU2 4.206, KTU3 4.206, CTU 4.206, CAT 4.206	Record (garments and dyes)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06366	KTU 4.207, KTU2 4.207, KTU3 4.207, CTU 4.207, CAT 4.207	List (trades and professions)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06367	KTU 4.208 4.208 + 9.120, CTU 4.208 + 9.120, CAT 4.208	+ 9.120, KTU2 + 9.120, KTU3 4.208 + 9.120 Record (draught animals?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06368	KTU 4.209, KTU2 4.209, KTU3 4.209, CTU 4.209, CAT 4.209	List ([persons and their respective] heirs subject to compulsory service)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06369	KTU 4.210, KTU2 4.210, KTU3 4.210, CTU 4.210, CAT 4.210	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06370	KTU 4.211, KTU2 4.211, KTU3 4.211, CTU 4.211, CAT 4.211	Record (quantities of wheat)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06371	KTU 4.212, KTU2 4.212, KTU3 4.212, CTU 4.212, CAT 4.212	Record (quantities of silver for craftsmen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06372	KTU 4.213, KTU2 4.213, KTU3 4.213, CTU 4.213, CAT 4.213	Record (quantities of wine by town; deliveries of quantities of wine)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06373	KTU 4.214, KTU2 4.214, KTU3 4.214, CTU 4.214, CAT 4.214	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06374	KTU 4.215, KTU2 4.215, KTU3 4.215, CTU 4.215, CAT 4.215	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06375	KTU 4.216, KTU2 4.216, KTU3 4.216, CTU 4.216, CAT 4.216	Record (quantities of wine for shrines and professional/occupational groups)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06376	KTU 4.217, KTU2 4.217, KTU3 4.217, CTU 4.217, CAT 4.217	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06377	KTU 4.218, KTU2 4.218, KTU3 4.218, CTU 4.218, CAT 4.218	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06378	KTU 4.219, KTU2 4.219, KTU3 4.219, CTU 4.219, CAT 4.219	Record (wine sold to shrines or individuals; monthly deliveries)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01486	KTU 4.22; KTU2 4.22; CTU 4.22; CAT 4.22; RS 1.041; A 2779; CTA 138; M 3408; AO 12.026	"fragmentary list mentioning ""queen's men"""	fragmentary list	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_06379	KTU 4.220, KTU2 4.220, KTU3 4.220, CTU 4.220, CAT 4.220	Record (monthly deliveries of wine)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06380	KTU 4.222, KTU2 4.222, KTU3 4.222, CTU 4.222, CAT 4.222	Record (persons, transfer of land holdings)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06381	KTU 4.223, KTU2 4.223, KTU3 4.223, CTU 4.223, CAT 4.223	Record (transfer of land holdings?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06382	KTU 4.224, KTU2 4.224, KTU3 4.224, CTU 4.224, CAT 4.224	List (persons, some of them with trades or professions)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06383	KTU 4.225, KTU2 4.225, KTU3 4.225, CTU 4.225, CAT 4.225	Record (quantities of misc. items: cereals, silver, wool, oil, cattle)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06384	KTU 4.226, KTU2 4.226, KTU3 4.226, CTU 4.226, CAT 4.226	Record (quantities of silver owed and paid by individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06385	KTU 4.227, KTU2 4.227, KTU3 4.227, CTU 4.227, CAT 4.227	Col. I-III: list (persons with apprentices); col. IV: record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06386	KTU 4.228, KTU2 4.228, KTU3 4.228, CTU 4.228, CAT 4.228	Census		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06387	KTU 4.229, KTU2 4.229, KTU3 4.229, CTU 4.229, CAT 4.229	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01487	KTU 4.23; KTU2 4.23; CTU 4.23; CAT 4.23; RS 2.[031]; AO 17.318; CTA 148	fragmentary list	fragmentary list	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_06388	KTU 4.230, KTU2 4.230, KTU3 4.230, CTU 4.230, CAT 4.230	Record (wine delivered to several groups and professions)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06389	KTU 4.231, KTU2 4.231, KTU3 4.231, CTU 4.231, CAT 4.231	Record (oxen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01283	KTU 4.232; CAT 4.232; KTU2 4.232; CTU 4.232; RS 16.355	List (Persons and Towns with Numbers)	List (Persons and Towns with Numbers)	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06390	KTU 4.233, KTU2 4.233, KTU3 4.233, CTU 4.233, CAT 4.233	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06391	KTU 4.234, KTU2 4.234, KTU3 4.234, CTU 4.234, CAT 4.234	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06392	KTU 4.235, KTU2 4.235, KTU3 4.235, CTU 4.235, CAT 4.235	List (towns)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06393	KTU 4.236, KTU2 4.236, KTU3 4.236, CTU 4.236, CAT 4.236	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06394	KTU 4.237, KTU2 4.237, KTU3 4.237, CTU 4.237, CAT 4.237	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06395	KTU 4.238, KTU2 4.238, KTU3 4.238, CTU 4.238, CAT 4.238	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06396	KTU 4.239, KTU2 4.239, KTU3 4.239, CTU 4.239, CAT 4.239	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06397	KTU 4.240, KTU2 4.240, KTU3 4.240, CTU 4.240, CAT 4.240	Record (fields with quantities of silver)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06398	KTU 4.241, KTU2 4.241, KTU3 4.241, CTU 4.241, CAT 4.241	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06399	KTU 4.242, KTU2 4.242, KTU3 4.242, CTU 4.242, CAT 4.242	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06400	KTU 4.243, KTU2 4.243, KTU3 4.243, CTU 4.243, CAT 4.243	Record (obv.: quantities of grain by town; rev.: quantities of grain for herdesmen)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06401	KTU 4.244, KTU2 4.244, KTU3 4.244, CTU 4.244, CAT 4.244	Record (vineyards owned by individuals in various towns		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06402	KTU 4.245, KTU2 4.245, KTU3 4.245, CTU 4.245, CAT 4.245	List (persons grouped by trade or profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06403	KTU 4.246, KTU2 4.246, KTU3 4.246, CTU 4.246, CAT 4.246	Record (deliveries of wine)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06404	KTU 4.247, KTU2 4.247, KTU3 4.247, CTU 4.247, CAT 4.247	Record (misc. items, mostly meat)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06405	KTU 4.248, KTU2 4.248, KTU3 4.248, CTU 4.248, CAT 4.248	Record (transfer of furniture)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06406	KTU 4.249, KTU2 4.249, KTU3 4.249, CTU 4.249, CAT 4.249	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06259	KTU 4.25, CTA 100, KTU2 4.25, KTU3 4.25, CTU 4.25, CAT 4.25	List (persons grouped by place of residence)		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_06407	KTU 4.250, KTU2 4.250, KTU3 4.250, CTU 4.250, CAT 4.250	Record (quantities of silver)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06408	KTU 4.251, KTU2 4.251, KTU3 4.251, CTU 4.251, CAT 4.251	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06409	KTU 4.252, KTU2 4.252, KTU3 4.252, CTU 4.252, CAT 4.252	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06410	KTU 4.253, KTU2 4.253, KTU3 4.253, CTU 4.253, CAT 4.253	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06411	KTU 4.254, KTU2 4.254, KTU3 4.254, CTU 4.254, CAT 4.254	List (persons grouped by place of residence)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06412	KTU 4.255, KTU2 4.255, KTU3 4.255, CTU 4.255, CAT 4.255	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06413	KTU 4.256, KTU2 4.256, KTU3 4.256, CTU 4.256, CAT 4.256	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06414	KTU 4.257, KTU2 4.257, KTU3 4.257, CTU 4.257, CAT 4.257	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06415	KTU 4.258, KTU2 4.258, KTU3 4.258, CTU 4.258, CAT 4.258	Record (quantities of silver owed by individuals		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06416	KTU 4.259, KTU2 4.259, KTU3 4.259, CTU 4.259, CAT 4.259	Record (transfer of land holdings?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06417	KTU 4.260, KTU2 4.260, KTU3 4.260, CTU 4.260, CAT 4.260	List (persons with numbers)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06418	KTU 4.261, KTU2 4.261, KTU3 4.261, CTU 4.261, CAT 4.261	List (persons grouped by trade/profession and place of residence, with numbers)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06419	KTU 4.262, KTU2 4.262, KTU3 4.262, CTU 4.262, CAT 4.262	Record (silver owed by individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06420	KTU 4.263, KTU2 4.263, KTU3 4.263, CTU 4.263, CAT 4.263	List (persons grouped by trade/profession, with quantities)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06421	KTU 4.264, KTU2 4.264, KTU3 4.264, CTU 4.264, CAT 4.264	List (transfer of various land tenancies to an individual)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06422	KTU 4.265, KTU2 4.265, KTU3 4.265, CTU 4.265, CAT 4.265	Record (quantities of silver and gold for the queen's chalice)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06423	KTU 4.266, KTU2 4.266, KTU3 4.266, CTU 4.266, CAT 4.266	Record (purchase of customs licence by individuals)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06424	KTU 4.267, KTU2 4.267, KTU3 4.267, CTU 4.267, CAT 4.267	List (towns with quantities)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06425	KTU 4.268, KTU2 4.268, KTU3 4.268, CTU 4.268, CAT 4.268	Record (donkeys carrying loads of metal)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
