name,lon,lat,language,script,area,uuid
"RS 19.174, [33]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,4fa0509c-d46a-4a92-8f3f-0a4baa9cc2aa
"RS 19.174, [34]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,fecc0b91-097c-41ed-9edc-df0ad1f327e8
"RS 19.174, [35]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,2b877885-720c-49c6-9827-9d9b4418ab69
"RS 19.174, [36]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,85b4c0e8-0d0f-4abb-8eba-f2dabc2db28e
"RS 19.174, [37]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,83f4fce4-d270-45dd-94ca-b102edebdfd4
"RS 19.174, [38]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,c325c8a7-3d0b-4c9c-93a1-3b519cefb776
"RS 19.174, [39]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,eb762620-7b7c-4d81-8426-9f8fe78a14a6
"RS 19.174, [40]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,10f9324b-c319-48bd-812e-a5955ebc685b
"RS 19.174, [41]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,0492fb8f-65f7-4b97-b802-185aa02f7251
"RS 19.174, [42]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,4c0d36a6-4052-45b6-aa25-83d1e55fd943
"RS 19.174, [43]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,bb436ce7-4e6c-4457-86c5-aa9321b06dbb
"RS 19.174, [44]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,459ca1c3-059d-408e-8f20-8f911cb2f638
"RS 19.174, [45]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,c99b74e1-4743-40cd-a471-34ecaba42cae
"RS 19.174, [46]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,ae9f3c3d-147b-4f83-ae34-f53294a1a90a
"RS 19.174, [47]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,d5636d52-5eef-4ae9-b49b-34745b5415de
"RS 19.174, [48]",35.7829922,35.6014332,Ugaritic,Alphabetic,Royal Palace,2c87e44d-256a-453f-8c77-8574b9439d29
"RS 19.174, [49]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,64933b72-679c-4562-a3f7-5e56e6d81921
"RS 19.174, [50]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,e742f18d-1009-44aa-9457-6aed8416af42
"RS 19.174, [51]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,4bffb629-9679-48b8-8dc8-f4501ea6ec9c
"RS 19.174, [52]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,c61701b0-e864-41fc-bf5e-26d383cd32e1
"RS 19.174, [53]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,5cdb5b20-88d1-41b8-9a8c-1c52e4aec335
"RS 19.174, [54]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,5b8e82db-9629-4a1d-8d4a-da0c10a8629c
"RS 19.174, [55]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,8e391074-7504-4e23-84cd-b6290868fe5d
"RS 19.174, [56]",35.7829922,35.6014332,Akkadian,Logosyllabic,Royal Palace,59fffe55-fe73-46e5-8cfd-4339f6d5f8a2
RS 20.001,35.7843585,35.6022281,Akkadian,Logosyllabic,Residential Quarter,cab645fe-ae32-4f28-87de-398266507e57
RS 20.002,35.7849617,35.6019901,Ugaritic,Alphabetic,unknown,bc25170d-1003-42f9-9248-406b8b0de3dd
RS 20.003,35.7843679,35.6022262,Akkadian,Logosyllabic,Residential Quarter,267e1f39-cbc0-4dba-a301-097680ba4da3
RS 20.004,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,a550c5ce-a1d6-47dd-b1d9-794713923f62
RS 20.005,35.7841709,35.6018256,Ugaritic,Alphabetic,Residential Quarter,c6fc6918-2271-4a69-a46b-2a74c6d28b3b
RS 20.006,35.7843718,35.6022307,Akkadian,Logosyllabic,Residential Quarter,d75a82ae-4c93-4138-80bb-5dcbe5dbf1a7
RS 20.007,35.7841709,35.6018256,Akkadian,Logosyllabic,Residential Quarter,43e8b65c-fc4b-49dd-9f85-44d0f5f53357
RS 20.008,35.7843829,35.6022211,Ugaritic,Alphabetic,Residential Quarter,200e9176-b270-4341-91ff-d4f3c0c859ad
RS 20.009,35.7843395,35.6018301,Ugaritic,Alphabetic,Residential Quarter,980a18ab-4253-4979-a53b-87bb048af2fa
RS 20.010,35.7843799,35.6022298,Ugaritic,Alphabetic,Residential Quarter,2c882558-3e85-4636-8b2f-28498331fb24
RS 20.011,35.7843877,35.6022366,Akkadian,Logosyllabic,Residential Quarter,e0000a9a-60e7-4ae8-b029-ce4cadcd74e4
RS 20.012,35.7843901,35.6022432,Akkadian,Logosyllabic,Residential Quarter,3d9ed553-3969-44c8-b7eb-5e25b779158e
RS 20.013,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,53c46e76-0aae-4468-ac91-981dc89ad665
RS 20.014,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,2caa0ca5-c33b-4b40-9065-e293585046ee
RS 20.015,35.7843935,35.6022247,Akkadian,Logosyllabic,Residential Quarter,eb157d5c-0fc0-42dc-86b9-26ce6a717e01
RS 20.016,35.7843655,35.6022206,Akkadian,Logosyllabic,Residential Quarter,50b0ce6d-7336-4ef1-b85b-521f6aaa3cee
RS 20.017,35.7843931,35.6022345,Akkadian,Logosyllabic,Residential Quarter,0856d6c8-2d53-41b4-bfda-d408db5fc988
RS 20.018,35.7843931,35.6022345,Akkadian,Logosyllabic,Residential Quarter,31068bc6-9436-41ca-b386-4a5852616b5c
RS 20.019,35.7843839,35.6022299,Akkadian,Logosyllabic,Residential Quarter,c3de64f8-dfea-415c-9825-ffdb83df2a18
RS 20.020,35.7843675,35.6022371,Akkadian,Logosyllabic,Residential Quarter,742a9d4b-abfa-4031-ba63-d72167af52c6
RS 20.021,35.7843675,35.6022371,Akkadian,Logosyllabic,Residential Quarter,6db1ca65-4e1c-4ba7-80d7-2a2bd8e1922f
RS 20.022,35.7843935,35.6022247,Akkadian,Logosyllabic,Residential Quarter,1e35953b-9d98-408f-9111-95560da7af74
RS 20.023,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,302ac634-22e1-434c-a4fd-089f0a59ab9d
RS 20.024,35.7844193,35.6022517,Akkadian,Logosyllabic,Residential Quarter,c042d8de-2240-4c53-893c-543779a87275
RS 20.025,35.7843756,35.6022362,Cypro-Minoan,Syllabic,Residential Quarter,fee6ac96-a03c-48ac-9faa-e26b367f4f45
RS 20.032,35.7843973,35.6022302,Akkadian,Logosyllabic,Residential Quarter,b2bad4ef-6195-4b15-9cab-3fc8c92f72cd
RS 20.033,35.7843958,35.6022357,Akkadian,Logosyllabic,Residential Quarter,f2f21b9e-6297-4531-ba18-8cdcb84d3bba
RS 20.035,35.7843271,35.6022064,Egyptian,Hieroglyphic,Residential Quarter,2d5be4c4-476c-4541-9b9a-c51a506eb61c
RS 20.095,35.7843811,35.6022342,Akkadian,Logosyllabic,Residential Quarter,b39b6526-7f5c-49a6-a7ed-ad8fb4803dad
RS 20.121,35.784389,35.6022377,Akkadian,Logosyllabic,Residential Quarter,9e6c5a2c-6391-4189-ab98-c5d9b27e4c99
RS 20.122,35.7843689,35.6022372,Akkadian,Logosyllabic,Residential Quarter,44c387fb-d175-48ba-a09c-4e0395da8224
RS 20.123+,35.7844163,35.6022253,Akkadian; Hurrian; Sumerian; Ugaritic,Logosyllabic,Residential Quarter,9ed65b58-51ef-4ac5-8e16-9c457a10f49f
RS 20.124,35.7842995,35.6019527,Akkadian,Logosyllabic,Residential Quarter,812fb5d2-ec49-4f4c-a8b1-67d08c826ea6
RS 20.125+,35.7843662,35.602236,Akkadian,Logosyllabic,Residential Quarter,80913f5b-066e-4fad-bdcf-df10412f2f79
RS 20.126C,35.7843685,35.6022119,unknown,unknown,Residential Quarter,fae934ff-9828-44ba-9a85-384948c163d6
RS 20.126E,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,abe58830-56ff-48d3-8227-08ab1cb78b26
RS 20.126F,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,40eb56c3-660b-428c-8734-268caed5152d
RS 20.126B+,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,0b6efa1b-ca83-4b42-ba1a-9d92e7c7a5f6
RS 20.126D,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,9f45e918-a566-43e1-b445-7fabc1b1a930
RS 20.126A,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,bc8c5130-e7f6-4f4e-aeec-d0a0201169f0
RS 20.127C+,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,ab151632-432b-4e42-9ce6-28a6f17629ee
RS 20.127B,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,9000e1e1-ed8f-4ea4-aee7-4d9ed29ed468
RS 20.127A,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,6efbfcfe-e9ff-402a-8a13-5f007bddc839
RS 20.128,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,08778e4b-9192-450e-a69a-31bd7b69aeb9
RS 20.129B,35.7844163,35.6022253,Akkadian,Logosyllabic,Residential Quarter,8d898d3f-e357-447b-af7a-5d0f7006fb14
RS 20.129A,35.7844163,35.6022253,Akkadian,Logosyllabic,Residential Quarter,703e9147-6e56-48dc-976d-ee9d1deaab70
RS 20.130,35.7843854,35.6022255,Akkadian,Logosyllabic,Residential Quarter,eb20de12-36f0-4f84-a305-0001372bdbb4
RS 20.131,35.7843854,35.6022255,Akkadian,Logosyllabic,Residential Quarter,f9e2db6e-0d30-44f3-88a4-d34741b808ea
RS 20.132B,35.7843495,35.6022169,Akkadian,Logosyllabic,Residential Quarter,f806ff87-c070-4a87-bc84-c410b3341d67
RS 20.132A+,35.7843495,35.6022169,Akkadian,Logosyllabic,Residential Quarter,004e86b5-ca8a-4506-9a6c-b78cec8c9fbd
RS 20.133 [B],35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,6b9a9ba3-47ff-4049-8e92-fe6046c54005
RS 20.133 [A],35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,3ff7ffcd-31df-467e-bbf7-a8c34d96afe8
RS 20.134,35.7843894,35.6022267,Akkadian,Logosyllabic,Residential Quarter,46c9f3b4-e49e-4c8f-96e8-d276677c035b
RS 20.135+,35.7843935,35.6022247,Akkadian,Logosyllabic,Residential Quarter,f0cbd55a-d0c1-4a11-bfa3-e66443233187
RS 20.136,35.7843935,35.6022247,Ugaritic; Akkadian,Alphabetic; Logosyllabic,Residential Quarter,b1d37b3e-8712-451a-b1f0-68533e0edc4e
RS 20.137,35.7843759,35.6022286,Akkadian,Logosyllabic,Residential Quarter,c1597db2-db10-4023-96bb-b3d4de6bc3a2
RS 20.138,35.7843759,35.6022286,Akkadian,Logosyllabic,Residential Quarter,5c84e9de-a40e-4632-b9ee-a0c02a81f7d8
RS 20.139,35.7843919,35.6022323,Akkadian,Logosyllabic,Residential Quarter,94e419a7-3580-45b9-839b-f29152bd28e2
RS 20.140,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,958d7e33-a1a8-4c2c-9d63-428e2326ae11
RS 20.141,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,bd5f3ca1-d823-40dd-a61a-8b0a0f544b86
RS 20.141 [D],35.7843715,35.6022372,unknown,unknown,Residential Quarter,0b8c8c19-d66c-40fa-87d1-a9e9e0220a7d
RS 20.141C,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,f289fd42-b87d-4354-b3a4-f86d2158d040
RS 20.141B,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,18afd040-9668-467d-a80b-215c23d3a168
RS 20.141A+,35.7843715,35.6022372,Akkadian,Logosyllabic,Residential Quarter,df28f7b2-b599-431f-b429-26225381ead5
RS 20.142C,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,f04e4e93-7fed-4097-b13d-57d65d1478c2
RS 20.142E,35.7843934,35.6022268,unknown,unknown,Residential Quarter,b0726e8f-c99f-42a5-ac04-353eb346c4fe
RS 20.142F,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,a6a4d5fa-2b29-464a-bd49-945028351673
RS 20.142B,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,75c68301-ba74-4df4-9063-e3cc2b8c6c53
RS 20.142D+,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,1c77a1c2-4737-45d5-a009-a9ad11172383
RS 20.142A,35.7843934,35.6022268,Akkadian,Logosyllabic,Residential Quarter,13c473a3-5663-4ba0-bc13-a74db9ef9b32
RS 20.143C,35.7843876,35.6022059,unknown,unknown,Residential Quarter,92200493-5263-4b0e-8db5-d61b911a0055
RS 20.143E,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,6f0fb06f-72f3-40e4-bf66-1862f8c447be
RS 20.143F,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,f749aa1a-147d-4f84-a42d-1553b6f0264f
RS 20.143B,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,c38fe5b8-33cb-4017-9cf7-7b70d572981b
RS 20.143G,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,e4da90d0-a620-4a0d-b580-46bd246c1bc4
RS 20.143D+,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,23414024-ac52-4247-8b59-d8d7cab875c8
RS 20.143H+,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,2b39299f-c9b0-47bf-b346-3e9ee3ad5f83
RS 20.143J,35.7843876,35.6022059,unknown,unknown,Residential Quarter,000048f3-3f18-4850-b140-2889091c31b9
RS 20.143A,35.7843876,35.6022059,unknown,unknown,Residential Quarter,0c7dcb5f-5ec6-489d-9a6e-194feb00cc49
RS 20.144C-G,35.7843876,35.6022059,unknown,unknown,Residential Quarter,c8ff6027-5844-4a8c-adc0-ad9c6dba2921
RS 20.144B,35.7843876,35.6022059,unknown,unknown,Residential Quarter,8f83bd52-ee2d-42b4-8e86-6a8b97f0d788
RS 20.144H,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,6041478b-3c29-45a0-b848-045ff12f927b
RS 20.144W,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,2f9526bf-02d1-4d5f-ab57-21483498e097
RS 20.144Y,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,3b687912-4184-443f-ab5c-ab8a81c6f926
